                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                  1.172,                0.73897,                0.87414,                 0.5277,                0.38679,                0.39985,                0.23709,                 1.2153,                0.85772,                 0.8848,               0.006601,               0.006601,               0.006601
                    106,                 1.1714,                 0.7344,                0.87555,                0.51272,                 0.3928,                0.39943,                0.23756,                 1.2139,                0.85542,                0.88423,               0.006568,               0.006568,               0.006568
                    107,                 1.1721,                0.73176,                0.87472,                0.51183,                0.39128,                0.39929,                0.23757,                 1.2108,                0.85401,                0.88313,               0.006535,               0.006535,               0.006535
                    108,                 1.1681,                0.73335,                 0.8737,                0.51827,                0.38984,                0.40022,                0.23828,                 1.2101,                0.85261,                0.88291,               0.006502,               0.006502,               0.006502
                    109,                 1.1619,                0.72743,                0.87225,                0.51093,                 0.3954,                0.39995,                 0.2382,                 1.2098,                0.85289,                0.88259,               0.006469,               0.006469,               0.006469
                    110,                 1.1247,                0.68205,                0.86498,                0.51383,                0.39252,                0.39909,                0.23718,                 1.2107,                0.85709,                0.88276,               0.006436,               0.006436,               0.006436
                    111,                 1.1236,                0.68485,                0.86542,                0.51513,                0.39155,                0.39829,                0.23761,                 1.2116,                0.85825,                0.88312,               0.006403,               0.006403,               0.006403
                    112,                 1.1382,                 0.6941,                0.86696,                0.52167,                0.38563,                0.39487,                0.23525,                 1.2143,                0.86378,                0.88378,                0.00637,                0.00637,                0.00637
                    113,                 1.1278,                0.68829,                0.86646,                0.51511,                0.38809,                0.39514,                0.23557,                 1.2147,                0.86196,                0.88348,               0.006337,               0.006337,               0.006337
                    114,                 1.1246,                0.68857,                0.86562,                0.52948,                0.38462,                0.39553,                0.23516,                 1.2166,                 0.8638,                0.88442,               0.006304,               0.006304,               0.006304
                    115,                 1.1343,                0.69201,                0.86555,                0.51798,                0.38667,                0.39521,                0.23471,                 1.2172,                0.86425,                0.88462,               0.006271,               0.006271,               0.006271
                    116,                 1.1356,                0.69777,                0.86762,                0.52337,                0.38778,                0.39715,                0.23535,                 1.2178,                 0.8636,                0.88504,               0.006238,               0.006238,               0.006238
                    117,                 1.1464,                0.70848,                0.86892,                0.51803,                0.39027,                0.39902,                0.23704,                 1.2165,                0.86145,                0.88526,               0.006205,               0.006205,               0.006205
                    118,                 1.1463,                0.70712,                0.87026,                0.50873,                0.39561,                0.39832,                0.23634,                 1.2161,                 0.8614,                0.88514,               0.006172,               0.006172,               0.006172
                    119,                 1.1503,                0.70765,                0.87041,                 0.5127,                0.39123,                0.39716,                0.23651,                  1.216,                0.86074,                0.88439,               0.006139,               0.006139,               0.006139
                    120,                 1.1542,                0.71604,                0.87083,                 0.5211,                0.38704,                0.39728,                0.23631,                 1.2159,                0.86091,                0.88441,               0.006106,               0.006106,               0.006106
                    121,                 1.1533,                0.71688,                0.87053,                0.51571,                0.39161,                0.39807,                0.23729,                 1.2139,                0.85924,                0.88356,               0.006073,               0.006073,               0.006073
                    122,                 1.1624,                0.72745,                0.87257,                0.51531,                0.39048,                0.39756,                0.23737,                 1.2118,                0.85663,                0.88331,                0.00604,                0.00604,                0.00604
                    123,                 1.1693,                0.73211,                0.87427,                0.52179,                0.38775,                0.39979,                0.23838,                 1.2104,                0.85476,                0.88285,               0.006007,               0.006007,               0.006007
                    124,                 1.1738,                0.73611,                0.87408,                0.52026,                0.38574,                0.40152,                0.24009,                  1.209,                0.85267,                0.88219,               0.005974,               0.005974,               0.005974
                    125,                 1.1693,                0.73649,                0.87645,                0.52236,                0.38755,                0.40279,                0.24049,                 1.2067,                0.85088,                0.88168,               0.005941,               0.005941,               0.005941
                    126,                 1.1749,                 0.7358,                0.87561,                0.52867,                 0.3871,                0.40275,                0.24114,                  1.207,                0.85074,                0.88166,               0.005908,               0.005908,               0.005908
                    127,                 1.1693,                0.73314,                0.87437,                0.51738,                0.39298,                0.40311,                 0.2408,                 1.2071,                 0.8515,                0.88178,               0.005875,               0.005875,               0.005875
                    128,                 1.1709,                0.73126,                0.87534,                  0.521,                0.39071,                0.40383,                0.24142,                  1.207,                0.85072,                0.88183,               0.005842,               0.005842,               0.005842
                    129,                 1.1668,                0.72977,                0.87322,                0.51388,                0.39442,                0.40397,                0.24148,                 1.2065,                0.85042,                 0.8818,               0.005809,               0.005809,               0.005809
                    130,                 1.1672,                0.72908,                0.87255,                0.51653,                 0.3945,                 0.4041,                0.24151,                  1.207,                0.85036,                0.88192,               0.005776,               0.005776,               0.005776
                    131,                 1.1642,                0.72651,                 0.8728,                0.52413,                0.38955,                0.40411,                0.24219,                 1.2057,                0.84881,                0.88153,               0.005743,               0.005743,               0.005743
                    132,                 1.1668,                0.72824,                0.87244,                0.52967,                0.38977,                0.40477,                0.24229,                 1.2061,                0.84822,                0.88151,                0.00571,                0.00571,                0.00571
                    133,                 1.1612,                0.72351,                0.87404,                0.52607,                 0.3921,                0.40505,                0.24284,                  1.206,                0.84728,                0.88161,               0.005677,               0.005677,               0.005677
